timestamp	hw_id	os	log_type	condition	stack_trace
2024/05/07 01:08:30.484	zKwJB6+VlTr6ZTc	Windows 11  (10.0.22621) 64bit (Editor)	Log	[OVRManager] OnApplicationPause(false)	UnityEngine.Debug:Log (object)\n OVRManager:OnApplicationPause (bool) (at ./Library/PackageCache/com.meta.xr.sdk.core@62.0.0/Scripts/OVRManager.cs:3017)\n 	
2024/05/07 01:08:30.491	zKwJB6+VlTr6ZTc	Windows 11  (10.0.22621) 64bit (Editor)	Log	[OVRManager] OnApplicationFocus(false)	UnityEngine.Debug:Log (object)\n OVRManager:OnApplicationFocus (bool) (at ./Library/PackageCache/com.meta.xr.sdk.core@62.0.0/Scripts/OVRManager.cs:3029)\n 	
2024/05/07 01:08:30.528	zKwJB6+VlTr6ZTc	Windows 11  (10.0.22621) 64bit (Editor)	Log	datapath: C:/Users/Ethan/AppData/LocalLow/UniversityofGeorgia/LeftRightStudy	UnityEngine.Debug:Log (object)\n MyLogger:Start () (at Assets/MyLogger.cs:24)\n 	
2024/05/07 01:08:30.529	zKwJB6+VlTr6ZTc	Windows 11  (10.0.22621) 64bit (Editor)	Log	OVRControllerHelp: Active controller type: TouchPlus for product Meta Quest 3 (headset Meta_Link_Quest_3, hand HandLeft)	UnityEngine.Debug:LogFormat (string,object[])\n OVRControllerHelper:InitializeControllerModels () (at ./Library/PackageCache/com.meta.xr.sdk.core@62.0.0/Scripts/Util/OVRControllerHelper.cs:218)\n OVRControllerHelper:Start () (at ./Library/PackageCache/com.meta.xr.sdk.core@62.0.0/Scripts/Util/OVRControllerHelper.cs:134)\n 	
2024/05/07 01:08:30.530	zKwJB6+VlTr6ZTc	Windows 11  (10.0.22621) 64bit (Editor)	Log	OVRControllerHelp: Active controller type: TouchPlus for product Meta Quest 3 (headset Meta_Link_Quest_3, hand HandRight)	UnityEngine.Debug:LogFormat (string,object[])\n OVRControllerHelper:InitializeControllerModels () (at ./Library/PackageCache/com.meta.xr.sdk.core@62.0.0/Scripts/Util/OVRControllerHelper.cs:218)\n OVRControllerHelper:Start () (at ./Library/PackageCache/com.meta.xr.sdk.core@62.0.0/Scripts/Util/OVRControllerHelper.cs:134)\n 	
2024/05/07 01:08:30.574	zKwJB6+VlTr6ZTc	Windows 11  (10.0.22621) 64bit (Editor)	Log	datapath: C:/Users/Ethan/AppData/LocalLow/UniversityofGeorgia/LeftRightStudy	UnityEngine.Debug:Log (object)\n CSVWriter:Start () (at Assets/CSVWriter.cs:8)\n 	
2024/05/07 01:08:30.603	zKwJB6+VlTr6ZTc	Windows 11  (10.0.22621) 64bit (Editor)	Log	[OVRManager] HMDAcquired event	UnityEngine.Debug:Log (object)\n OVRManager:Update () (at ./Library/PackageCache/com.meta.xr.sdk.core@62.0.0/Scripts/OVRManager.cs:2527)\n 	
2024/05/07 01:08:30.604	zKwJB6+VlTr6ZTc	Windows 11  (10.0.22621) 64bit (Editor)	Log	[OVRManager] InputFocusLost event	UnityEngine.Debug:Log (object)\n OVRManager:Update () (at ./Library/PackageCache/com.meta.xr.sdk.core@62.0.0/Scripts/OVRManager.cs:2615)\n 	
2024/05/07 01:08:30.604	zKwJB6+VlTr6ZTc	Windows 11  (10.0.22621) 64bit (Editor)	Log	Recenter event detected	UnityEngine.Debug:Log (object)\n OVRDisplay:Update () (at ./Library/PackageCache/com.meta.xr.sdk.core@62.0.0/Scripts/OVRDisplay.cs:133)\n OVRManager:Update () (at ./Library/PackageCache/com.meta.xr.sdk.core@62.0.0/Scripts/OVRManager.cs:2719)\n 	
2024/05/07 01:08:30.611	zKwJB6+VlTr6ZTc	Windows 11  (10.0.22621) 64bit (Editor)	Log	The game is in Idle State	UnityEngine.Debug:Log (object)\n LeftRightGameManager:HandleGameState () (at Assets/Scripts/LeftRightGameManager.cs:127)\n LeftRightGameManager:Update () (at Assets/Scripts/LeftRightGameManager.cs:120)\n 	
2024/05/07 01:08:30.629	zKwJB6+VlTr6ZTc	Windows 11  (10.0.22621) 64bit (Editor)	Log	Unable to process a controller whose SampleRateHz is 0 now.	UnityEngine.Debug:Log (object)\n OVRHaptics/OVRHapticsOutput:Process () (at ./Library/PackageCache/com.meta.xr.sdk.core@62.0.0/Scripts/OVRHaptics.cs:176)\n OVRHaptics:Process () (at ./Library/PackageCache/com.meta.xr.sdk.core@62.0.0/Scripts/OVRHaptics.cs:393)\n OVRManager:LateUpdate () (at ./Library/PackageCache/com.meta.xr.sdk.core@62.0.0/Scripts/OVRManager.cs:2974)\n 	
2024/05/07 01:08:30.630	zKwJB6+VlTr6ZTc	Windows 11  (10.0.22621) 64bit (Editor)	Log	Unable to process a controller whose SampleRateHz is 0 now.	UnityEngine.Debug:Log (object)\n OVRHaptics/OVRHapticsOutput:Process () (at ./Library/PackageCache/com.meta.xr.sdk.core@62.0.0/Scripts/OVRHaptics.cs:176)\n OVRHaptics:Process () (at ./Library/PackageCache/com.meta.xr.sdk.core@62.0.0/Scripts/OVRHaptics.cs:393)\n OVRManager:LateUpdate () (at ./Library/PackageCache/com.meta.xr.sdk.core@62.0.0/Scripts/OVRManager.cs:2974)\n 	
2024/05/07 01:08:31.663	zKwJB6+VlTr6ZTc	Windows 11  (10.0.22621) 64bit (Editor)	Log	[OVRPlugin] [XR_SESSION] XrEventDataSessionStateChanged: state XR_SESSION_STATE_SYNCHRONIZED->XR_SESSION_STATE_VISIBLE session=72218466332966913 time=175314112782299	UnityEngine.Debug:Log (object)\n OVRManager:OVRPluginLogCallback (OVRPlugin/LogLevel,intptr,int) (at ./Library/PackageCache/com.meta.xr.sdk.core@62.0.0/Scripts/OVRManager.cs:2009)\n 	
2024/05/07 01:08:31.663	zKwJB6+VlTr6ZTc	Windows 11  (10.0.22621) 64bit (Editor)	Log	[OVRPlugin] [XR_SESSION] ... running 1 visible 1 focused 0	UnityEngine.Debug:Log (object)\n OVRManager:OVRPluginLogCallback (OVRPlugin/LogLevel,intptr,int) (at ./Library/PackageCache/com.meta.xr.sdk.core@62.0.0/Scripts/OVRManager.cs:2009)\n 	
