timestamp	hw_id	os	log_type	condition	stack_trace
2024/05/06 22:51:40.533	zKwJB6+VlTr6ZTc	Windows 11  (10.0.22621) 64bit (Editor)	Log	[OVRManager] OnApplicationPause(false)	UnityEngine.Debug:Log (object)\n OVRManager:OnApplicationPause (bool) (at ./Library/PackageCache/com.meta.xr.sdk.core@62.0.0/Scripts/OVRManager.cs:3017)\n 	
2024/05/06 22:51:40.539	zKwJB6+VlTr6ZTc	Windows 11  (10.0.22621) 64bit (Editor)	Log	[OVRManager] OnApplicationFocus(false)	UnityEngine.Debug:Log (object)\n OVRManager:OnApplicationFocus (bool) (at ./Library/PackageCache/com.meta.xr.sdk.core@62.0.0/Scripts/OVRManager.cs:3029)\n 	
2024/05/06 22:51:40.647	zKwJB6+VlTr6ZTc	Windows 11  (10.0.22621) 64bit (Editor)	Log	OVRControllerHelp: Active controller type: TouchPlus for product Meta Quest 3 (headset Meta_Link_Quest_3, hand HandLeft)	UnityEngine.Debug:LogFormat (string,object[])\n OVRControllerHelper:InitializeControllerModels () (at ./Library/PackageCache/com.meta.xr.sdk.core@62.0.0/Scripts/Util/OVRControllerHelper.cs:218)\n OVRControllerHelper:Start () (at ./Library/PackageCache/com.meta.xr.sdk.core@62.0.0/Scripts/Util/OVRControllerHelper.cs:134)\n 	
2024/05/06 22:51:40.648	zKwJB6+VlTr6ZTc	Windows 11  (10.0.22621) 64bit (Editor)	Log	OVRControllerHelp: Active controller type: TouchPlus for product Meta Quest 3 (headset Meta_Link_Quest_3, hand HandRight)	UnityEngine.Debug:LogFormat (string,object[])\n OVRControllerHelper:InitializeControllerModels () (at ./Library/PackageCache/com.meta.xr.sdk.core@62.0.0/Scripts/Util/OVRControllerHelper.cs:218)\n OVRControllerHelper:Start () (at ./Library/PackageCache/com.meta.xr.sdk.core@62.0.0/Scripts/Util/OVRControllerHelper.cs:134)\n 	
2024/05/06 22:51:40.682	zKwJB6+VlTr6ZTc	Windows 11  (10.0.22621) 64bit (Editor)	Log	datapath: C:/Users/Ethan/AppData/LocalLow/UniversityofGeorgia/LeftRightStudy	UnityEngine.Debug:Log (object)\n CSVWriter:Start () (at Assets/CSVWriter.cs:8)\n 	
2024/05/06 22:51:40.709	zKwJB6+VlTr6ZTc	Windows 11  (10.0.22621) 64bit (Editor)	Log	[OVRManager] HMDAcquired event	UnityEngine.Debug:Log (object)\n OVRManager:Update () (at ./Library/PackageCache/com.meta.xr.sdk.core@62.0.0/Scripts/OVRManager.cs:2527)\n 	
2024/05/06 22:51:40.710	zKwJB6+VlTr6ZTc	Windows 11  (10.0.22621) 64bit (Editor)	Log	[OVRManager] InputFocusLost event	UnityEngine.Debug:Log (object)\n OVRManager:Update () (at ./Library/PackageCache/com.meta.xr.sdk.core@62.0.0/Scripts/OVRManager.cs:2615)\n 	
2024/05/06 22:51:40.710	zKwJB6+VlTr6ZTc	Windows 11  (10.0.22621) 64bit (Editor)	Log	Recenter event detected	UnityEngine.Debug:Log (object)\n OVRDisplay:Update () (at ./Library/PackageCache/com.meta.xr.sdk.core@62.0.0/Scripts/OVRDisplay.cs:133)\n OVRManager:Update () (at ./Library/PackageCache/com.meta.xr.sdk.core@62.0.0/Scripts/OVRManager.cs:2719)\n 	
2024/05/06 22:51:40.715	zKwJB6+VlTr6ZTc	Windows 11  (10.0.22621) 64bit (Editor)	Log	The game is in Idle State	UnityEngine.Debug:Log (object)\n LeftRightGameManager:HandleGameState () (at Assets/Scripts/LeftRightGameManager.cs:127)\n LeftRightGameManager:Update () (at Assets/Scripts/LeftRightGameManager.cs:120)\n 	
2024/05/06 22:51:40.722	zKwJB6+VlTr6ZTc	Windows 11  (10.0.22621) 64bit (Editor)	Log	System.Collections.Generic.List`1[System.String]	UnityEngine.Debug:Log (object)\n VelUtils.PlayerLogger:Update () (at C:/Users/Ethan/Documents/VelUtils/VelUtils/Runtime/PlayerLogger.cs:106)\n 	
2024/05/06 22:51:40.722	zKwJB6+VlTr6ZTc	Windows 11  (10.0.22621) 64bit (Editor)	Error	Column count does not match the number of headers specified for this file: actual:43 != headers:3 for file:positions\ntimestamp:2024/05/06 22:51:40.722    hw_id:zKwJB6+VlTr6ZTc    os:Windows 11  (10.0.22621) 64bit (Editor)    	UnityEngine.Debug:LogError (object,UnityEngine.Object)\n VelUtils.Logger:LogRow (string,string[]) (at C:/Users/Ethan/Documents/VelUtils/VelUtils/Runtime/Logger.cs:334)\n VelUtils.Logger:LogRow (string,System.Collections.Generic.List`1<string>) (at C:/Users/Ethan/Documents/VelUtils/VelUtils/Runtime/Logger.cs:358)\n VelUtils.PlayerLogger:Update () (at C:/Users/Ethan/Documents/VelUtils/VelUtils/Runtime/PlayerLogger.cs:107)\n 	
2024/05/06 22:51:40.735	zKwJB6+VlTr6ZTc	Windows 11  (10.0.22621) 64bit (Editor)	Log	Unable to process a controller whose SampleRateHz is 0 now.	UnityEngine.Debug:Log (object)\n OVRHaptics/OVRHapticsOutput:Process () (at ./Library/PackageCache/com.meta.xr.sdk.core@62.0.0/Scripts/OVRHaptics.cs:176)\n OVRHaptics:Process () (at ./Library/PackageCache/com.meta.xr.sdk.core@62.0.0/Scripts/OVRHaptics.cs:393)\n OVRManager:LateUpdate () (at ./Library/PackageCache/com.meta.xr.sdk.core@62.0.0/Scripts/OVRManager.cs:2974)\n 	
2024/05/06 22:51:40.735	zKwJB6+VlTr6ZTc	Windows 11  (10.0.22621) 64bit (Editor)	Log	Unable to process a controller whose SampleRateHz is 0 now.	UnityEngine.Debug:Log (object)\n OVRHaptics/OVRHapticsOutput:Process () (at ./Library/PackageCache/com.meta.xr.sdk.core@62.0.0/Scripts/OVRHaptics.cs:176)\n OVRHaptics:Process () (at ./Library/PackageCache/com.meta.xr.sdk.core@62.0.0/Scripts/OVRHaptics.cs:393)\n OVRManager:LateUpdate () (at ./Library/PackageCache/com.meta.xr.sdk.core@62.0.0/Scripts/OVRManager.cs:2974)\n 	
2024/05/06 22:51:41.716	zKwJB6+VlTr6ZTc	Windows 11  (10.0.22621) 64bit (Editor)	Log	[OVRPlugin] [XR_SESSION] XrEventDataSessionStateChanged: state XR_SESSION_STATE_SYNCHRONIZED->XR_SESSION_STATE_VISIBLE session=72218466332966913 time=167104165215200	UnityEngine.Debug:Log (object)\n OVRManager:OVRPluginLogCallback (OVRPlugin/LogLevel,intptr,int) (at ./Library/PackageCache/com.meta.xr.sdk.core@62.0.0/Scripts/OVRManager.cs:2009)\n 	
2024/05/06 22:51:41.716	zKwJB6+VlTr6ZTc	Windows 11  (10.0.22621) 64bit (Editor)	Log	[OVRPlugin] [XR_SESSION] ... running 1 visible 1 focused 0	UnityEngine.Debug:Log (object)\n OVRManager:OVRPluginLogCallback (OVRPlugin/LogLevel,intptr,int) (at ./Library/PackageCache/com.meta.xr.sdk.core@62.0.0/Scripts/OVRManager.cs:2009)\n 	
2024/05/06 22:51:41.716	zKwJB6+VlTr6ZTc	Windows 11  (10.0.22621) 64bit (Editor)	Log	[OVRPlugin] [XR_SESSION] XrEventDataSessionStateChanged: state XR_SESSION_STATE_VISIBLE->XR_SESSION_STATE_FOCUSED session=72218466332966913 time=167104165228200	UnityEngine.Debug:Log (object)\n OVRManager:OVRPluginLogCallback (OVRPlugin/LogLevel,intptr,int) (at ./Library/PackageCache/com.meta.xr.sdk.core@62.0.0/Scripts/OVRManager.cs:2009)\n 	
2024/05/06 22:51:41.716	zKwJB6+VlTr6ZTc	Windows 11  (10.0.22621) 64bit (Editor)	Log	[OVRPlugin] [XR_SESSION] ... running 1 visible 1 focused 1	UnityEngine.Debug:Log (object)\n OVRManager:OVRPluginLogCallback (OVRPlugin/LogLevel,intptr,int) (at ./Library/PackageCache/com.meta.xr.sdk.core@62.0.0/Scripts/OVRManager.cs:2009)\n 	
2024/05/06 22:51:41.726	zKwJB6+VlTr6ZTc	Windows 11  (10.0.22621) 64bit (Editor)	Log	[OVRManager] HMDMounted event	UnityEngine.Debug:Log (object)\n OVRManager:Update () (at ./Library/PackageCache/com.meta.xr.sdk.core@62.0.0/Scripts/OVRManager.cs:2561)\n 	
2024/05/06 22:51:41.726	zKwJB6+VlTr6ZTc	Windows 11  (10.0.22621) 64bit (Editor)	Log	[OVRManager] VrFocusAcquired event	UnityEngine.Debug:Log (object)\n OVRManager:Update () (at ./Library/PackageCache/com.meta.xr.sdk.core@62.0.0/Scripts/OVRManager.cs:2595)\n 	
2024/05/06 22:51:41.726	zKwJB6+VlTr6ZTc	Windows 11  (10.0.22621) 64bit (Editor)	Log	[OVRManager] InputFocusAcquired event	UnityEngine.Debug:Log (object)\n OVRManager:Update () (at ./Library/PackageCache/com.meta.xr.sdk.core@62.0.0/Scripts/OVRManager.cs:2629)\n 	
2024/05/06 22:51:41.726	zKwJB6+VlTr6ZTc	Windows 11  (10.0.22621) 64bit (Editor)	Log	[OVRManager] TrackingAcquired event	UnityEngine.Debug:Log (object)\n OVRManager:Update () (at ./Library/PackageCache/com.meta.xr.sdk.core@62.0.0/Scripts/OVRManager.cs:2707)\n 	
2024/05/06 22:51:41.730	zKwJB6+VlTr6ZTc	Windows 11  (10.0.22621) 64bit (Editor)	Log	The game is in Idle State	UnityEngine.Debug:Log (object)\n LeftRightGameManager:HandleGameState () (at Assets/Scripts/LeftRightGameManager.cs:127)\n LeftRightGameManager:Update () (at Assets/Scripts/LeftRightGameManager.cs:120)\n 	
2024/05/06 22:51:41.805	zKwJB6+VlTr6ZTc	Windows 11  (10.0.22621) 64bit (Editor)	Log	The game is in Idle State	UnityEngine.Debug:Log (object)\n LeftRightGameManager:HandleGameState () (at Assets/Scripts/LeftRightGameManager.cs:127)\n LeftRightGameManager:Update () (at Assets/Scripts/LeftRightGameManager.cs:120)\n 	
2024/05/06 22:51:41.819	zKwJB6+VlTr6ZTc	Windows 11  (10.0.22621) 64bit (Editor)	Log	The game is in Idle State	UnityEngine.Debug:Log (object)\n LeftRightGameManager:HandleGameState () (at Assets/Scripts/LeftRightGameManager.cs:127)\n LeftRightGameManager:Update () (at Assets/Scripts/LeftRightGameManager.cs:120)\n 	
2024/05/06 22:51:41.833	zKwJB6+VlTr6ZTc	Windows 11  (10.0.22621) 64bit (Editor)	Log	The game is in Idle State	UnityEngine.Debug:Log (object)\n LeftRightGameManager:HandleGameState () (at Assets/Scripts/LeftRightGameManager.cs:127)\n LeftRightGameManager:Update () (at Assets/Scripts/LeftRightGameManager.cs:120)\n 	
2024/05/06 22:51:41.847	zKwJB6+VlTr6ZTc	Windows 11  (10.0.22621) 64bit (Editor)	Log	The game is in Idle State	UnityEngine.Debug:Log (object)\n LeftRightGameManager:HandleGameState () (at Assets/Scripts/LeftRightGameManager.cs:127)\n LeftRightGameManager:Update () (at Assets/Scripts/LeftRightGameManager.cs:120)\n 	
2024/05/06 22:51:41.862	zKwJB6+VlTr6ZTc	Windows 11  (10.0.22621) 64bit (Editor)	Log	The game is in Idle State	UnityEngine.Debug:Log (object)\n LeftRightGameManager:HandleGameState () (at Assets/Scripts/LeftRightGameManager.cs:127)\n LeftRightGameManager:Update () (at Assets/Scripts/LeftRightGameManager.cs:120)\n 	
